date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:34	54949/54949	---M--	200	added ('OK')	image/png	etag:%22d6a5-588e98fceb740%22	http://csabaibio.elte.hu/assets/img/compare.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/compare.png	(from http://csabaibio.elte.hu/project.html)
11:49:36	95630/95630	---M--	200	added ('OK')	image/png	etag:%221758e-567d9fb770a00%22	http://csabaibio.elte.hu/assets/img/fiek_ures.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/fiek_ures.png	(from http://csabaibio.elte.hu/project.html)
11:49:38	18630/18630	---M--	200	added ('OK')	image/png	etag:%2248c6-566c37e77f580%22	http://csabaibio.elte.hu/assets/img/fiek_logo.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/fiek_logo.png	(from http://csabaibio.elte.hu/fundings.html)
11:49:38	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/icon.ico	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/icon.3c.delayed	(from http://csabaibio.elte.hu/team.html)
11:49:38	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/favicon.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/favicon.3d.delayed	(from http://csabaibio.elte.hu/team.html)
11:49:38	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/bg5.jpg	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/bg5.3e.delayed	(from http://csabaibio.elte.hu/team.html)
11:49:40	10715/10715	---M--	200	added ('OK')	image/png	etag:%2229db-569186ec3a380%22	http://csabaibio.elte.hu/assets/img/compare_logo.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/compare_logo.png	(from http://csabaibio.elte.hu/fundings.html)
11:49:42	117811/117811	---M--	200	added ('OK')	image/png	etag:%221cc33-588e98fceb740%22	http://csabaibio.elte.hu/assets/img/oncogenome.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/oncogenome.png	(from http://csabaibio.elte.hu/project.html)
11:49:44	7255/7255	---M--	200	added ('OK')	image/png	etag:%221c57-566c2dcd21f80%22	http://csabaibio.elte.hu/team/orcid.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/orcid.png	(from http://csabaibio.elte.hu/team.html)
11:49:46	2855/2855	---M--	200	added ('OK')	image/png	etag:%22b27-566c31239ff80%22	http://csabaibio.elte.hu/team/empty.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/empty.png	(from http://csabaibio.elte.hu/team.html)
11:49:46	40529/40529	---M--	200	added ('OK')	image/png	etag:%229e51-569183f702900%22	http://csabaibio.elte.hu/assets/img/novo_logo.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/novo_logo.png	(from http://csabaibio.elte.hu/fundings.html)
11:49:46	1407/1407	---M--	200	added ('OK')	image/png	etag:%2257f-5675db7279f80%22	http://csabaibio.elte.hu/team/scholar.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/scholar.png	(from http://csabaibio.elte.hu/team.html)
11:49:52	2602/2602	---M--	200	added ('OK')	image/png	etag:%22a2a-566c1d7651300%22	http://csabaibio.elte.hu/team/linkedin.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/linkedin.png	(from http://csabaibio.elte.hu/team.html)
11:49:52	68763/68763	---M--	200	added ('OK')	image/png	etag:%2210c9b-5680ef3e11a80%22	http://csabaibio.elte.hu/team/icsabai.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/icsabai.png	(from http://csabaibio.elte.hu/team.html)
11:49:56	6246/6246	---M--	200	added ('OK')	image/jpeg	etag:%221866-566c1bb246880%22	http://csabaibio.elte.hu/team/kpapp.jpg	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/kpapp.jpg	(from http://csabaibio.elte.hu/team.html)
11:50:04	99720/99720	---M--	200	added ('OK')	image/png	etag:%2218588-56856a4bed800%22	http://csabaibio.elte.hu/team/amedgyeshorvath.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/amedgyeshorvath.png	(from http://csabaibio.elte.hu/team.html)
11:50:08	83819/83819	---M--	200	added ('OK')	image/png	etag:%221476b-5697d0c8dc780%22	http://csabaibio.elte.hu/team/gpalla.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/gpalla.png	(from http://csabaibio.elte.hu/team.html)
11:50:10	60779/60779	---M--	200	added ('OK')	image/png	etag:%22ed6b-5680f0046ee80%22	http://csabaibio.elte.hu/team/jsteger.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/jsteger.png	(from http://csabaibio.elte.hu/team.html)
11:50:10	693/693	---M--	200	added ('OK')	image/png	etag:%222b5-5675daf497680%22	http://csabaibio.elte.hu/team/scopus.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/scopus.png	(from http://csabaibio.elte.hu/team.html)
11:50:12	83280/83280	---M--	200	added ('OK')	image/png	etag:%2214550-56dfb0a9f8a80%22	http://csabaibio.elte.hu/team/ppollner.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/ppollner.png	(from http://csabaibio.elte.hu/team.html)
11:50:22	82024/82024	---M--	200	added ('OK')	image/png	etag:%2214068-5680efbbf4380%22	http://csabaibio.elte.hu/team/jszalaigindl.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/jszalaigindl.png	(from http://csabaibio.elte.hu/team.html)
11:50:25	69343/69343	---M--	200	added ('OK')	image/jpeg	etag:%2210edf-568ee7d956080%22	http://csabaibio.elte.hu/team/opipek.jpg	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/opipek.jpg	(from http://csabaibio.elte.hu/team.html)
11:50:28	80143/80143	---M--	200	added ('OK')	image/png	etag:%221390f-567c02b379d00%22	http://csabaibio.elte.hu/team/elte.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/elte.png	(from http://csabaibio.elte.hu/team.html)
11:50:29	99972/99972	---M--	200	added ('OK')	image/png	etag:%2218684-5680eeedf5d80%22	http://csabaibio.elte.hu/team/dvisontai.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/dvisontai.png	(from http://csabaibio.elte.hu/team.html)
11:50:38	63984/63984	---M--	200	added ('OK')	image/png	etag:%22f9f0-5680ee330a480%22	http://csabaibio.elte.hu/team/jborcsok.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/jborcsok.png	(from http://csabaibio.elte.hu/team.html)
11:50:39	54362/54362	---M--	200	added ('OK')	image/jpeg	etag:%22d45a-5675df524c380%22	http://csabaibio.elte.hu/team/amajor.jpg	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/amajor.jpg	(from http://csabaibio.elte.hu/team.html)
11:50:39	94274/94274	---M--	200	added ('OK')	image/png	etag:%2217042-569a28c1ecb00%22	http://csabaibio.elte.hu/team/dribli.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/dribli.png	(from http://csabaibio.elte.hu/team.html)
11:50:45	88200/88200	---M--	200	added ('OK')	image/png	etag:%2215888-5675df1ecca00%22	http://csabaibio.elte.hu/team/bapataki.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/bapataki.png	(from http://csabaibio.elte.hu/team.html)
11:50:46	40596/40596	---M--	200	added ('OK')	image/png	etag:%229e94-567d7631c9380%22	http://csabaibio.elte.hu/team/zudvarnoki.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/zudvarnoki.png	(from http://csabaibio.elte.hu/team.html)
11:50:46	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/icon.ico	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/icon.56.delayed	(from http://csabaibio.elte.hu/tools/isomut/isomut.html)
11:50:48	302/302	---M--	302	error ('Found')	text/html	date:Fri,%2010%20Nov%202023%2010:50:46%20GMT	http://csabaibio.elte.hu/tools/favicon.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/favicon.57.delayed	(from http://csabaibio.elte.hu/tools/isomut/isomut.html)
11:50:48	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/bg5.jpg	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/bg5.58.delayed	(from http://csabaibio.elte.hu/tools/isomut/isomut.html)
11:50:50	302/302	---M--	302	error ('Found')	text/html	date:Fri,%2010%20Nov%202023%2010:50:48%20GMT	http://csabaibio.elte.hu/tools/isomut/team.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/isomut/team.59.delayed	(from http://csabaibio.elte.hu/tools/isomut/isomut.html)
11:50:52	57757/57757	---M--	200	added ('OK')	image/png	etag:%22e19d-5b01e729db980%22	http://csabaibio.elte.hu/team/aolar.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/aolar.png	(from http://csabaibio.elte.hu/team.html)
11:50:52	6292/6292	---M-Z	200	added ('OK')	text/html	etag:%221894-5a1264457fec0-gzip%22	http://csabaibio.elte.hu/tools/isomut/isomut_publications.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/isomut/isomut_publications.html	(from http://csabaibio.elte.hu/tools/isomut/isomut.html)
11:50:54	74363/74363	---M--	200	added ('OK')	image/png	etag:%221227b-5b00b55f80640%22	http://csabaibio.elte.hu/team/abiricz.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/abiricz.png	(from http://csabaibio.elte.hu/team.html)
11:50:54	6345/6345	---M-Z	200	added ('OK')	text/html	etag:%2218c9-5a12644674100-gzip%22	http://csabaibio.elte.hu/tools/isomut/isomut_download.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/isomut/isomut_download.html	(from http://csabaibio.elte.hu/tools/isomut/isomut.html)
11:50:56	8332/8332	---M-Z	200	added ('OK')	text/html	etag:%22208c-5a12644674100-gzip%22	http://csabaibio.elte.hu/tools/isomut/isomut_howto.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/isomut/isomut_howto.html	(from http://csabaibio.elte.hu/tools/isomut/isomut.html)
11:50:58	68929/68929	---M--	200	added ('OK')	image/png	etag:%2210d41-5b00eaba066c0%22	http://csabaibio.elte.hu/team/abecsei.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/team/abecsei.png	(from http://csabaibio.elte.hu/team.html)
11:51:00	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/icon.ico	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/icon.5f.delayed	(from http://csabaibio.elte.hu/tools/kooplex/kooplex.html)
11:51:00	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/tools/favicon.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/favicon.60.delayed	(from http://csabaibio.elte.hu/tools/kooplex/kooplex.html)
11:51:00	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/bg5.jpg	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/bg5.61.delayed	(from http://csabaibio.elte.hu/tools/kooplex/kooplex.html)
11:51:02	302/302	---M--	302	error ('Found')	text/html	date:Fri,%2010%20Nov%202023%2010:51:00%20GMT	http://csabaibio.elte.hu/tools/kooplex/team.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/kooplex/team.62.delayed	(from http://csabaibio.elte.hu/tools/kooplex/kooplex.html)
11:51:04	6196/6196	---M-Z	200	added ('OK')	text/html	etag:%221834-5a1263e069040-gzip%22	http://csabaibio.elte.hu/tools/kooplex/kooplex_publications.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/kooplex/kooplex_publications.html	(from http://csabaibio.elte.hu/tools/kooplex/kooplex.html)
11:51:06	6385/6385	---M-Z	200	added ('OK')	text/html	etag:%2218f1-5a1263e2514c0-gzip%22	http://csabaibio.elte.hu/tools/kooplex/kooplex_download.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/kooplex/kooplex_download.html	(from http://csabaibio.elte.hu/tools/kooplex/kooplex.html)
11:51:08	90706/90706	---M--	200	added ('OK')	image/png	etag:%2216252-52ab56300d780%22	http://csabaibio.elte.hu/assets/img/frontpage/isomut.png	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/frontpage/isomut.png	(from http://csabaibio.elte.hu/tools/isomut/isomut.html)
11:51:08	6163/6163	---M-Z	200	added ('OK')	text/html	etag:%221813-5a1263e15d280-gzip%22	http://csabaibio.elte.hu/tools/kooplex/kooplex_howto.html	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/tools/kooplex/kooplex_howto.html	(from http://csabaibio.elte.hu/tools/kooplex/kooplex.html)
11:51:12	0/-1	---M--	302	error ('')			http://csabaibio.elte.hu/assets/img/icon.ico	/home/olaralex/websites/csabaibio/csabaibio.elte.hu/assets/img/icon.68.delayed	(from http://csabaibio.elte.hu/tools/veo/covid19.html)
